Samples	SBS96A
Biliary-AdenoCA::SP99325	206529
Bladder-TCC::SP1059	59185
Bladder-TCC::SP96136	51896
Breast-AdenoCA::SP117369	55654
Breast-AdenoCA::SP2293	65065
CNS-GBM::SP25494	245043
ColoRect-AdenoCA::SP18310	108227
ColoRect-AdenoCA::SP17172	124362
ColoRect-AdenoCA::SP96133	81348
ColoRect-AdenoCA::SP110242	113975
ColoRect-AdenoCA::SP21017	88434
ColoRect-AdenoCA::SP22383	97478
ColoRect-AdenoCA::SP81312	807487
ColoRect-AdenoCA::SP22031	234231
ColoRect-AdenoCA::SP19215	94904
ColoRect-AdenoCA::SP16886	849282
ColoRect-AdenoCA::SP19295	259867
ColoRect-AdenoCA::SP17905	2432617
ColoRect-AdenoCA::SP18121	161139
ColoRect-AdenoCA::SP21400	793040
ColoRect-AdenoCA::SP18946	960813
ColoRect-AdenoCA::SP80615	2426469
Eso-AdenoCA::SP111058	63983
Eso-AdenoCA::SP111066	79659
Eso-AdenoCA::SP111113	79140
Eso-AdenoCA::SP110865	55751
Eso-AdenoCA::SP23502	74471
Eso-AdenoCA::SP111001	59462
Eso-AdenoCA::SP111173	105594
Eso-AdenoCA::SP111091	54578
Eso-AdenoCA::SP111175	123973
Eso-AdenoCA::SP111114	57609
Head-SCC::SP30113	87623
Head-SCC::SP30332	52507
Head-SCC::SP30675	63185
Liver-HCC::SP98090	63686
Lung-AdenoCA::SP53460	53534
Lung-AdenoCA::SP54113	110327
Lung-AdenoCA::SP55235	113803
Lung-AdenoCA::SP50611	53404
Lung-AdenoCA::SP55142	157043
Lung-AdenoCA::SP53618	61322
Lung-AdenoCA::SP53810	185584
Lung-AdenoCA::SP55509	66135
Lung-SCC::SP56553	133882
Lung-SCC::SP57941	75502
Lung-SCC::SP57818	50099
Lung-SCC::SP56704	53748
Lung-SCC::SP59245	55120
Lung-SCC::SP57933	57547
Lung-SCC::SP57669	50722
Lung-SCC::SP58342	74224
Lung-SCC::SP57619	53782
Lung-SCC::SP58245	59177
Lung-SCC::SP57251	52103
Lung-SCC::SP58668	65970
Lung-SCC::SP58326	71525
Lung-SCC::SP57267	51391
Lung-SCC::SP57066	57913
Lung-SCC::SP57846	53964
Lung-SCC::SP57189	113846
Lymph-BNHL::SP116668	66901
Lymph-BNHL::SP116697	112529
Panc-AdenoCA::SP125732	95745
Panc-AdenoCA::SP125770	55454
Skin-Melanoma::SP124389	70873
Skin-Melanoma::SP124362	214810
Skin-Melanoma::SP124394	105876
Skin-Melanoma::SP124334	87764
Skin-Melanoma::SP124454	58815
Skin-Melanoma::SP124380	162971
Skin-Melanoma::SP124399	144375
Skin-Melanoma::SP124311	109379
Skin-Melanoma::SP124434	85261
Skin-Melanoma::SP124428	305689
Skin-Melanoma::SP124449	137987
Skin-Melanoma::SP124298	366716
Skin-Melanoma::SP124431	92652
Skin-Melanoma::SP124409	245674
Skin-Melanoma::SP124376	55168
Skin-Melanoma::SP124439	319683
Skin-Melanoma::SP124406	73754
Skin-Melanoma::SP124382	478961
Skin-Melanoma::SP124415	859178
Skin-Melanoma::SP124436	318815
Skin-Melanoma::SP124460	163978
Skin-Melanoma::SP124425	91518
Skin-Melanoma::SP124367	155967
Skin-Melanoma::SP124377	61019
Skin-Melanoma::SP124412	77288
Skin-Melanoma::SP124329	51726
Skin-Melanoma::SP124326	61290
Skin-Melanoma::SP124458	161511
Skin-Melanoma::SP124401	435965
Skin-Melanoma::SP124384	177782
Skin-Melanoma::SP124462	114171
Skin-Melanoma::SP124452	91909
Skin-Melanoma::SP124386	115835
Skin-Melanoma::SP124418	107381
Skin-Melanoma::SP124319	205301
Skin-Melanoma::SP124447	444091
Skin-Melanoma::SP124369	140457
Skin-Melanoma::SP124365	75536
Skin-Melanoma::SP124420	71144
Skin-Melanoma::SP124364	109414
Skin-Melanoma::SP124307	121510
Skin-Melanoma::SP82445	744553
Skin-Melanoma::SP83242	73248
Skin-Melanoma::SP103894	159349
Skin-Melanoma::SP83382	58882
Skin-Melanoma::SP82451	51533
Skin-Melanoma::SP83312	57742
Skin-Melanoma::SP82614	57444
Skin-Melanoma::SP82431	373348
Skin-Melanoma::SP82459	78286
Skin-Melanoma::SP82532	212889
Skin-Melanoma::SP83482	68683
Skin-Melanoma::SP104530	71362
Skin-Melanoma::SP82644	240513
Skin-Melanoma::SP82988	92423
Skin-Melanoma::SP82461	84719
Skin-Melanoma::SP82900	279814
Skin-Melanoma::SP82399	116295
Skin-Melanoma::SP82417	250745
Skin-Melanoma::SP104056	334004
Skin-Melanoma::SP83083	75677
Skin-Melanoma::SP83019	98123
Skin-Melanoma::SP83146	347886
Skin-Melanoma::SP103866	94887
Skin-Melanoma::SP83844	57187
Stomach-AdenoCA::SP135287	66574
Stomach-AdenoCA::SP85122	80659
Stomach-AdenoCA::SP84384	118437
Stomach-AdenoCA::SP84491	64707
Stomach-AdenoCA::SP84743	60006
Stomach-AdenoCA::SP84982	64043
Stomach-AdenoCA::SP84392	104620
Stomach-AdenoCA::SP105018	58804
Stomach-AdenoCA::SP84439	389215
Stomach-AdenoCA::SP84922	68029
Uterus-AdenoCA::SP90209	549929
Uterus-AdenoCA::SP93540	65697
Uterus-AdenoCA::SP93227	928218
Uterus-AdenoCA::SP94933	62442
Uterus-AdenoCA::SP92364	115351
Uterus-AdenoCA::SP92659	282262
